election_date,election_year,election_month,election_day,prop_letter_or_num,prop_title,num_yes_votes,num_no_votes,pct_yes_votes,pct_no_votes,pct_required_to_pass,pass_or_fail,raw_source_of_prop,source_of_prop,prop_kind,description,prop_url
11/4/1986,1986,11,4,C,Refund Revenue Bonds Without Voter Approval,140095,49347,73.9,26.1,50%+1,P,Supervisors,supervisors,Charter Amendment,"Shall the City be authorized to issue new revenue bonds without a vote of the people, to pay off existing bonds at  lower cost to the City?",https://sfpl.org/index.php?pg=2000027201&propid=1325
11/4/1986,1986,11,4,D,"After School Recreation, Use Open Space Funds",150556,41959,78.2,21.8,50%+1,P,Supervisors,supervisors,Charter Amendment,"Shall the City use at least 12% of its open space funds for after school recreation programs, and at least 45% for the purchase and development of open space properties?",https://sfpl.org/index.php?pg=2000027201&propid=1326
11/4/1986,1986,11,4,E,Retirement Allowance Increase,138022,55233,71.4,28.6,50%+1,P,Supervisors,supervisors,Charter Amendment,"Shall the City increase the monthly retirement allowance of City workers who retired before June, 1961 by $50, and of those who retired since then by a proportionate amount?",https://sfpl.org/index.php?pg=2000027201&propid=1327
11/4/1986,1986,11,4,F,Reciprocal Retirement Benefits,122258,63369,65.8,34.2,50%+1,P,Supervisors,supervisors,Charter Amendment,"Shall the City be authorized to participate with other public agencies in a system of ""reciprocal retirement benefits"" for their workers under state law?",https://sfpl.org/index.php?pg=2000027201&propid=1328
11/4/1986,1986,11,4,G,Union Representatives Retirement Benefits,92655,98005,48.5,51.5,50%+1,F,Supervisors,supervisors,Charter Amendment,Shall the City allow union representatives to receive retirement benefits for time they spend on leave from City service representing City workers?,https://sfpl.org/index.php?pg=2000027201&propid=1329
11/4/1986,1986,11,4,H,"Comparable Worth, Pay Minorities and Women",115810,76785,60.1,39.9,50%+1,P,Supervisors,supervisors,Charter Amendment,"Shall the City be authorized to grant wage increases to City workers in jobs disproportionately occupied by minorities and women, according to an annual pay equity survey?",https://sfpl.org/index.php?pg=2000027201&propid=1330
11/4/1986,1986,11,4,I,"Police and Fire Pay, Changes After Annual Survey",121012,68114,63.9,36.1,50%+1,P,Supervisors,supervisors,Charter Amendment,Shall the City be authorized to adjust police and fire department pay rates after adoption of the annual salary survey to include rates adopted in other cities after that date?,https://sfpl.org/index.php?pg=2000027201&propid=1331
11/4/1986,1986,11,4,J,No Maximum Ages for Police and Fire Entry or Retirement,131985,58687,69.2,30.8,50%+1,P,Supervisors,supervisors,Charter Amendment,"Shall the City eliminate maximum age limits for persons entering the police and fire departments, and eliminate mandatory retirement ages for the police and fire departments?",https://sfpl.org/index.php?pg=2000027201&propid=1332
11/4/1986,1986,11,4,K,"Art Curators, Exempt from Civil Service",116109,67527,63.2,36.8,50%+1,P,Supervisors,supervisors,Charter Amendment,Shall the City exempt all art curators from the civil service system?,https://sfpl.org/index.php?pg=2000027201&propid=1333
11/4/1986,1986,11,4,M,"Development Limits, Office Space",102295,96903,51.3,48.7,50%+1,P,Initiative,initiative,Ordinance,"Shall the City adopt mandatory priority policies for its Master Plan, extend limits on the development of new office space in San Francisco, and reduce the amount of new office development allowed under the Downtown Plan?",https://sfpl.org/index.php?pg=2000027201&propid=1335
